,red,green,blue
lh-bankssts,0.022015403,0.268546808,0.039568662
lh-caudalanteriorcingulate,0.016908919,0.403567083,0.077819706
lh-caudalmiddlefrontal,0.294401689,0.217481956,0.41247327
lh-cuneus,0.690916536,0.880787563,0.606649211
lh-entorhinal,0.419919556,0.203188039,0.134439658
lh-fusiform,0.338717155,0.299994482,0.527109327
lh-inferiorparietal,0.124573174,0.36344617,0.005557928
lh-inferiortemporal,0.143620568,0.32930571,0.259758968
lh-isthmuscingulate,0.210607889,0.120013149,0.255062871
lh-lateraloccipital,0.46168644,0.21806211,0.545611634
lh-lateralorbitofrontal,0.148321909,0.135231751,0.029153991
lh-lingual,0.544247295,0.720377745,0.425887476
lh-medialorbitofrontal,0.053328533,0.182379549,0.206004676
lh-middletemporal,0.002773269,0.231579354,0.169646792
lh-parahippocampal,0.382492341,0.074546517,0.291925089
lh-paracentral,0.439952108,0.123215895,0.563094098
lh-parsopercularis,0.119923932,0.124273353,0.175972184
lh-parsorbitalis,0.067580685,0.147697219,0.097112447
lh-parstriangularis,0.146547312,0.042479367,0.118409677
lh-pericalcarine,0.710539571,1,0.562456129
lh-postcentral,0.32804759,0.199372293,0.349321226
lh-posteriorcingulate,0.024261194,0.13607159,0.033161475
lh-precentral,0.439866061,0.19981431,0.470340697
lh-precuneus,0.4215062,0.05402053,0.429718489
lh-rostralanteriorcingulate,0.023644071,0.201146051,0.028636173
lh-rostralmiddlefrontal,0.056926267,0.016000468,0.063589622
lh-superiorfrontal,0.205972436,0.034992897,0.093727204
lh-superiorparietal,0.487464843,0.038755691,0.557727767
lh-superiortemporal,0.037907872,0.176638565,0.131306658
lh-supramarginal,0.165519789,0.086404817,0.163103409
lh-frontalpole,0.1794348,0.02403334,0.032991281
lh-temporalpole,0.409667322,0.254628763,0.230825545
lh-transversetemporal,0.086237905,0.089897203,0.13116553
lh-insula,0.13439923,0.413702412,0.064103385
rh-bankssts,0.193044111,0.364688575,0.148071875
rh-caudalanteriorcingulate,0.00213625,0.090491513,0.227304178
rh-caudalmiddlefrontal,0.225477046,0.050802874,0.281469423
rh-cuneus,0.457799093,0.587027623,0.383353774
rh-entorhinal,0.285511517,0.29140244,0.058212781
rh-fusiform,0.308993088,0.156938809,0.443788173
rh-inferiorparietal,0.024227557,0.292134535,0.101437323
rh-inferiortemporal,0.249517562,0.312099944,0.3808203
rh-isthmuscingulate,0.013123235,0.015785569,0.064394138
rh-lateraloccipital,0.420491411,0.188580234,0.521917126
rh-lateralorbitofrontal,0.181638124,0.262160431,0.038421462
rh-lingual,0.52840702,0.622705976,0.439915632
rh-medialorbitofrontal,0.075606395,0.235092975,0.043163072
rh-middletemporal,0.03428321,0.262241279,0.148470089
rh-parahippocampal,0.366704139,0.09878831,0.312566182
rh-paracentral,0.441946666,0.123922143,0.570535705
rh-parsopercularis,0.234146426,0.064665809,0.312276909
rh-parsorbitalis,0.145518398,0.142136038,0.170272799
rh-parstriangularis,0.009126518,0.084058921,0.025017082
rh-pericalcarine,0.558826939,0.862486452,0.410508852
rh-postcentral,0.356145953,0.139224185,0.453876305
rh-posteriorcingulate,0.1932813,0.048638409,0.169473901
rh-precentral,0.432707198,0.212326851,0.466319214
rh-precuneus,0.390513323,0.03615126,0.391886797
rh-rostralanteriorcingulate,0.036815723,0.033068304,0.176643615
rh-rostralmiddlefrontal,0.129196686,0.071946963,0.064789013
rh-superiorfrontal,0.237958576,0.045174321,0.129005357
rh-superiorparietal,0.417829342,0.038916822,0.433587795
rh-superiortemporal,0.17161481,0.122710414,0.035322999
rh-supramarginal,0.228632465,0.068200488,0.176721733
rh-frontalpole,0.288675767,0.036545743,0.09228745
rh-temporalpole,0.16939584,0.35632404,0.080119186
rh-transversetemporal,0.267796918,0.052522041,0.301331599
rh-insula,0.055896449,0.342090554,0.146220816
